paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-28561835,28561835,,10.1039/c6mb00841k,vhfRNAi: a web-platform for analysis of host genes involved in viral infections discovered by genome wide RNAi screens.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28548037,28548037,,10.1099/jgv.0.000754,Moonlighting glycolytic enzyme glyceraldehyde-3-phosphate dehydrogenase (GAPDH) is required for efficient hepatitis C virus and dengue virus infections in human Huh-7.5.1 cells.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28543875,28543875,,10.1111/1348-0421.12493,Unconjugated interferon-stimulated gene 15 specifically interacts with the hepatitis C virus NS5A protein via domain I.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28542603,28542603,PMC5462475,10.1371/journal.ppat.1006411,A conformational switch high-throughput screening assay and allosteric inhibition of the flavivirus NS2B-NS3 protease.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5462475.json,PMC XML downloaded and normalized.
pmid-28539440,28539440,PMC5512259,10.1128/JVI.00571-17,Uncovering the Repertoire of Endogenous Flaviviral Elements in Aedes Mosquito Genomes.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5512259.json,PMC XML downloaded and normalized.
pmid-28534512,28534512,PMC5608636,10.1038/onc.2017.139,A viral microRNA downregulates metastasis suppressor CD82 and induces cell invasion and angiogenesis by activating the c-Met signaling.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5608636.json,PMC XML downloaded and normalized.
pmid-28515293,28515293,PMC5651724,10.1128/JVI.00362-17,Virus-Like Vesicles of Kaposi's Sarcoma-Associated Herpesvirus Activate Lytic Replication by Triggering Differentiation Signaling.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28514666,28514666,PMC5446956,10.1016/j.celrep.2017.04.062,A Temporal Proteomic Map of Epstein-Barr Virus Lytic Replication in B Cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5446956.json,PMC XML downloaded and normalized.
pmid-28490747,28490747,PMC5431807,10.1038/s41598-017-01853-7,Structural Basis for Importin-α Binding of the Human Immunodeficiency Virus Tat.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5431807.json,PMC XML downloaded and normalized.
pmid-28483922,28483922,PMC5500786,10.1074/jbc.M117.777045,Quantitative microspectroscopic imaging reveals viral and cellular RNA helicase interactions in live cells.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28471314,28471314,PMC5589072,10.1080/14740338.2017.1325869,Hepatitis B reactivation during or after direct acting antiviral therapy - implication for susceptible individuals.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5589072.json,PMC XML downloaded and normalized.
pmid-28448054,28448054,PMC5564943,10.3791/55585,Lipid Droplet Isolation for Quantitative Mass Spectrometry Analysis.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28446670,28446670,PMC5487551,10.1128/JVI.01081-16,Collateral Damage during Dengue Virus Infection: Making Sense of DNA by cGAS.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28446668,28446668,PMC5487554,10.1128/JVI.00194-17,Serine 235 Is the Primary NS5A Hyperphosphorylation Site Responsible for Hepatitis C Virus Replication.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28442603,28442603,PMC5405227,10.1128/mBio.00056-17,Aspergillus fumigatus Trehalose-Regulatory Subunit Homolog Moonlights To Mediate Cell Wall Homeostasis through Modulation of Chitin Synthase Activity.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5405227.json,PMC XML downloaded and normalized.
pmid-28438609,28438609,,10.1016/j.jviromet.2017.04.009,Novel replicons and trans-encapsidation systems for Hepatitis C Virus proteins live imaging and virus-host interaction proteomics.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28427827,28427827,,10.1016/j.antiviral.2017.04.008,"Antiviral screen identifies EV71 inhibitors and reveals camptothecin-target, DNA topoisomerase 1 as a novel EV71 host factor.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28424288,28424288,PMC5469257,10.1128/JVI.00051-17,Virion-Associated Vpr Alleviates a Postintegration Block to HIV-1 Infection of Dendritic Cells.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-28420884,28420884,PMC5800792,10.1038/nrmicro.2017.29,A CRISPR toolbox to study virus-host interactions.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5800792.json,PMC XML downloaded and normalized.
pmid-28399283,28399283,,10.1093/jme/tjw222,Repellent and Larvicidal Activity of the Essential Oil From Eucalyptus nitens Against Aedes aegypti and Aedes albopictus (Diptera: Culicidae).,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-28397482,28397482,,10.7754/Clin.Lab.2016.161203,Genetic Polymorphism of Epidermal Growth Factor rs4444903 Influences Susceptibility to HCV-Related Liver Cirrhosis and Hepatocellular Carcinoma in a Chinese Han Population.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
